ime,gorovje,visina,geografska_sirina,geografska_dolzina,vrsta,st_ogledov,priljubljenost,mesto,st_poti,st_gsp_sledi,opis

Kofce gora,Karavanke, 1967,"46,43108°N","14,32729°E", vrh, 568483, 96% ,103. mesto,6,0,"Kofce gora je 1967 m visok vrh, ki se nahaja na vzhodnem delu najdaljšega slovenskega grebena. Z vrha, ki se prepadno spušča proti Avstriji, se nam odpre lep razgled na osrednje Karavanke ter del Kamniških in Savinjskih Alp."

Cjajnik / Lärchenturm,Karavanke, 1965,"46,44328°N","14,38808°E", vrh, 479321, 88% ,322. mesto,3,0,"Cjajnik / Lärchenturm je izrazit skalnat stolp, ki se nahaja na avstrijski strani grebena Košute. Z vrha na katerem stoji velik klin, je lep pogled na severna ostenja Košute in na avstrijsko Koroško. Na vrh so pred leti speljali dve zelo težki plezalni poti, ki dosežeta težavnost C oziroma D (lestvica od A do E). Vzpon na Cjajnik se je potrebno lotiti le v stabilnem vremenu z dobro psihično pripravljenostjo, kondicijo ter močmi v rokah. Za vzpon na Cjajnik sta obvezna čelada in komplet za samovarovanje, priporočljivo pa je imeti tudi plezalne rokavice."

Svačica,Karavanke, 1953,"46,44412°N","14,19124°E", vrh, 424828, 81% ,513. mesto,9,0,Svačica je manj opazen vrh v glavnem grebenu Karavank. Nahaja se med Vrtačo in Stolom in je nekoliko pomaknjen proti severu. Vrh na katerem je postavljen križ in vpisna skrinjica ima lep razgled na sosednje vrhove.

Struška,Karavanke, 1944,"46,47275°N","14,12286°E", vrh, 513555, 92% ,215. mesto,8,0,"Struška je manjše pogorje, ki se nahaja med Stolom oz. Belščico ter Golico. Z Velikega vrha, kot se imenuje najvišji vrh omenjenega pogorja, se nam odpre lep razgled na Julijske Alpe ter del zahodnih in osrednjih Karavank. Ob lepem vremenu, pa razgled seže vse do Velikega Kleka v Visokih Turah."

Trupejevo poldne,Karavanke, 1931,"46,51535°N","13,86066°E", vrh, 548709, 95% ,134. mesto,8,1,Gora se nahaja na meji z Avstrijo in je nad Gozd Martuljkom. Z neporaščenega vrha je lep razgled na Julijske Alpe in Avstrijo. Vrh ni prostoren si pa lahko le kak meter pod vrhom najdemo primeren prostor. Na vrhu je postavljen tudi večji križ.

Govca (Olševa),Karavanke, 1929,"46,44953°N","14,68571°E", vrh, 585317, 97% ,78. mesto,14,1,"Govca je najvišji vrh Olševe, pogorja, ki se dviga nad Koprivno, Solčavo in Remšenikom (Remšenik / Remschenig je dolina na avstrijski strani Olševe). S travnatega vrha, katerim ima tudi vpisno skrinjico z vpisno knjigo in žigom, se nam odpre lep razgled proti Peci, Uršlji gori, Smrekovškemu pogorju, Raduhi, Logarski dolini in goram nad omenjeno dolino, Košuti, Obirju in delu Avstrije."

Bele peči (Lepi vrh),Karavanke, 1926,"46,5121°N","13,8647°E", vrh, 4700, 26% ,2016. mesto,2,0,"Bele peči, pravilno tudi Peči ali Na Pečeh (na zemljevidih se pojavlja ime Lepi vrh, kar je napačno poimenovanje - Lepi vrh je v resnici gozdna rama na koti 1478 m, ki se nahaja jugozahodno od Lovske koče za Lepim vrhom, oz. južno od Belih peči 1926 m. Z vrha se nam odpre lep pogled na Julijske Alpe, Karavanke, Karnijske Alpe, Ziljske Alpe, Visoke in Nizke Ture, Krške Alpe, Kamniške in Savinjske Alpe..."

Setiče/Freiberg,Karavanke, 1922,"46,48881°N","14,40935°E", vrh, 344604, 70% ,815. mesto,1,0,Setiče / Freiberg (tudi Z'če oz. Žetiče) je razgledna gora na avstrijski strani Karavank. Z vrha na katerem stoji križ je lep razgled proti severnemu ostenju Košute in Kamniškim in Savinjskim Alpam. Ob lepi vidljivosti pa se vidi del Julijskih in Karnijskih Alp in Grossglockner z okolico. Proti vzhodu pa opazimo bližnji Obir in zadaj Peco.

Srednja peč,Karavanke, 1920,"46,4361°N","14,1878°E", vrh, 1990, 22% ,2125. mesto,5,0,"Srednja peč je manj znam in malo obiskan vrh med Stolom in Vrtačo. Z vrha, na katerem se nahaja vpisna skrinjica z vpisno knjigo, se nam odpre lep razgled proti Stolu, Vrtači in okoliškim goram."

Žleb (Suho ruševje),Karavanke, 1916,"46,44258°N","14,21709°E", sedlo, 397789, 78% ,609. mesto,1,1,"Žleb nad Suhim ruševjem se nahaja med Palcem in Zelenjakom na mejnem grebenu z Avstrijo. Priljubljen je pri turnih smučarjih saj je z njega prijetna ne prestrma turna smuka. Z Žleba je lep razgled na bližnja ostenja Vrtače, Zelenjaka in Palca. Proti jugu pa se lepo vidi Begunjščica s svojimi severnimi pobočji. Z Žleba pa lahko pot nadaljujemo na Palec na katerega pelje zahtevna neoznačena pot ali pa na Zelenjak na katerega pa gre prav tako zahtevna pot. Lahko pa se podamo po zelo zahtevnem brezpotju po grapi Ipsilon na Vrtačo."

Obel kamen (Olševa),Karavanke, 1911,"46,4508°N","14,6747°E", vrh, 1650, 20% ,2156. mesto,5,0,"Obel kamen je 1911 metrov visok vrh, ki se nahaja v grebenu Olševe. Na vrhu se nahaja mejni kamen z oznako RS XXII 1, križ in vpisna skrinjica pa se nahajata na zahodnem predvrhu in sicer na koti 1883, vpisna skrinjica Gorniškega kluba skala pa je še nekoliko nižje. Z vrha, ki meji na Avstrijo, se nam odpre lep razgled proti Peci, Raduhi, Kamniško Savinjskim Alpam, ob lepi vidljivosti pa razgled seže vse do Julijskih Alp in Visokih Tur."

Dovška Baba,Karavanke, 1891,"46,48762°N","13,99389°E", vrh, 580237, 97% ,84. mesto,8,0,"Dovška Baba je 1891 m visok vrh, ki se nahaja na mejnem grebenu med Slovenijo in Avstrijo. Z vrha, ki ima vpisno skrinjico in žig, se nam odpre lep razgled na najvišje vrhove Julijskih Alp, zahodnih in osrednjih Karavank, Avstrijo in večji del Gornjesavske doline."

Škrbina,Karavanke, 1869,"46,43787°N","14,35514°E", sedlo, 368787, 73% ,720. mesto,1,0,"Škrbina je najnižja točka v grebenu Košute (med Velikim vrhom in Tolsto Košuto) in se nahaja med Kladivom in Tegoško goro. Le nekaj korakov nad Škrbino je strm vrh, s katerega se nam odpre lep pogled na avstrijsko stran in na del grebena Košute. Na Škrbini, skozi katero pogosto vleče močan veter je tudi vpisna skrinjica."

Murnovc,Karavanke, 1866,"46,51812°N","13,88257°E", vrh, 213076, 51% ,1327. mesto,1,0,"Murnovc je 1866 m visok vrh, ki se nahaja med Kresiščem in Trupejevim poldnem, točneje južno od Maloškega poldneva. S travnatega vrha, katerega obdaja pas ruševja, se nam odpre lep razgled na Martuljkovo skupino gora, greben Mojstrovk, Jalovec, Trupejevo poldne, Ziljsko dolino z Dobračem, Visoke in Nizke Ture ter Kresišču, Kepi in Mojstrovici."

Kamnitnik,Karavanke, 1858,"46,4507°N","14,1297°E", vrh, 274238, 60% ,1088. mesto,2,0,"Kamnitnik je 1858 m visok vrh, ki se nahaja na zahodnem delu Belščice. S kamnitega vrha, katerega obdajajo prostrana travnata pobočja, se nam odpre lep razgled na zahodne Karavanke, Julijske Alpe, Jelovico in del gorenjske ravnine."

Grlovec / Ferlacher Horn,Karavanke, 1840,"46,48666°N","14,31398°E", vrh, 350573, 71% ,793. mesto,6,0,"Grlovec / Ferlacher Horn je razgledna gora na kateri stoji velik križ. Z vrha je lep razgled  na Karavanke, del Julijskih in Karnijskih Alp. Proti severu in severozahodu pa opazimo Dravsko dolino in večino gora nad omenjeno dolino."

Kresišče,Karavanke, 1839,"46,51982°N","13,89517°E", vrh, 416679, 80% ,542. mesto,4,0,"Kresišče je 1839 m visok vrh, ki se nahaja v glavnem grebenu Karavank, točneje med Kepo in Trupejevim poldnevom. Z vrha, na katerem stoji lesen križ, se nam odpre lep razgled proti Avstriji, zahodnim Karavankam in Julijskim Alpam, od slednjih najbolj izstopa Martuljkova skupina."

Golica,Karavanke, 1835,"46,49132°N","14,05411°E", vrh, 689685, 99% ,17. mesto,12,3,"Golica je neporaščen vrh, ki se nahaja severno od Jesenic. Z vrha, ki ima vpisno skrinjico je lep pogled na zahodne Karavanke in del Julijskih Alp s Triglavom. Najprimernejši čas za obisk Golice je mesec maj, saj na pobočjih Planine pod Golico takrat cvetijo narcise, ki krasijo okolico. Zaradi ohranjanja narcis, le teh ne trgajmo in s tem  dopustimo, da jih bodo občudovali še naslednji rodovi."

Kraguljše,Karavanke, 1828,"46,5039°N","14,5019°E", vrh, 172742, 45% ,1485. mesto,2,0,"Kraguljše so 1828 m visok vrh, ki se nahajajo v pogorju Obirja. S prostranega vrha, na katerem se nahaja manjša lesena klop, se nam odpre lep razgled proti Peci, Raduhi, Olševi, Kamniško Savinjskim Alpam, Storžiču, Košuti in Ojstrcu."

Visoki vrh,Karavanke, 1828,"46,49621°N","13,88815°E", vrh, 377376, 74% ,691. mesto,3,1,"Visoki vrh (tudi Visoki Kurji vrh) je 1828 m visoka gora, ki se nahaja zahodno od doline reke Belce. Z vrha, na katerem stoji manjši možic, se nam odpre lep razgled na Martuljkovo skupino gora, Jalovec, Mangart, zahodne Karavanke - tu izstopa bližnja Kepa, ob lepem vremenu pa razgled seže vse do Visokih Tur v Avstriji."

Maloško poldne / Mallestiger Mittagskogel,Karavanke, 1823,"46,5228°N","13,88204°E", vrh, 312388, 65% ,937. mesto,4,0,"Maloško poldne oz. po nemško Mallestiger Mittagskogel je 1823 m visok vrh, ki se nahaja na meji med Slovenijo in Avstrijo, točneje med Trupejevim poldnem in Kresiščem. Z vrha, ki je deloma porasel z gozdom, pa se nam odpre lep razgled na Dravsko dolino, Karavanke in del Julijskih Alp."

Mojstrovica,Karavanke, 1816,"46,5032°N","13,894°E", vrh, 378446, 75% ,688. mesto,2,0,"Mojstrovica je razgleden travnat vrh, ki se nahaja v zahodnem delu Karavank, točneje med dolino Belce in dolino potoka Hladnik. S 1816 m visokega vrha, se nam tako odpre lep razgled, ki seže od Julijskih Alp prek Ziljskih in Karnijskih Alp do Visokih in Nizkih Tur do bližnjih Karavank."

Lokovnikov Grintovec / Grintoutz,Karavanke, 1809,"46,44547°N","14,3001°E", vrh, 338470, 69% ,838. mesto,5,0,"Lokovnikov Grintovec je z ruševjem porasel vrh severno od Košutice, od katere jo loči Dovjakovo sedlo (1728 m). Njegovo jugozahodno in zahodno pobočje obdaja prostrana Dovjakova planina, medtem ko proti Hajnževemu grabnu pada s strmimi travami in melišči. Na vzhodu ga manjše Majerjevo sedelce (1625 m) povezuje z gozdnatim Praprotnikom / Zeller Praprotnik, 1727 m, kjer se razprostirata Majerjeva in Lokovnikova planina (1543 m). Njegova severna pobočja se strmo spuščajo proti Petrovcu / Petrouz, 1506 m. Vrh je precej redko obiskan, o čemer pričajo  z gostim ruševjem skoraj zarasla stezica in ponekod že skoraj zbledele markacije. Redek obisk je navsezadnje nerazumljiv, kajti velja za izredno razgleden vrh. Prav razgled pa je nemara še lepši kot s sosednje in nekoliko višje Košutice."

Ostra peč / Mallestiger Mittagskogel,Karavanke, 1801,"46,52433°N","13,88105°E", vrh, 333704, 68% ,860. mesto,4,0,"Ostra peč oz. po nemško Mallestiger Mittagskogel, je 1801 m visoka gora, ki se nahaja na severni strani glavne verige Karavank. Z vrha, na katerem se nahaja križ in na njem vpisna skrinjica, se nam odpre lep razgled na Dravsko dolino, Julijske Alpe ter večji del zahodnih Karavank."

Plešivec,Karavanke, 1801,"46,43399°N","14,4313°E", vrh, 463214, 86% ,370. mesto,3,0,"Plešivec je 1801 m visok vrh, ki se nahaja južno od vzhodnega dela Košute. Z vrha, na katerem stoji mejna tabla, se nam odpre lep pogled na večji del Košute, osrednje Karavanke in Kamniško Savinjske Alpe."

Srednji vrh (nad Završnico),Karavanke, 1796,"46,43064°N","14,20789°E", vrh, 426553, 81% ,506. mesto,5,0,"Srednji vrh je razgledna in z ruševjem porasla gora, ki se nahaja med Stolom, Vrtačo in Begunjščico. Z vrha, ki se prepadno spušča proti jugu, se nam odpre lep razgled na že omenjene vrhove ter na del Julijskih Alp. Vrh ima vpisno skrinjico in v njej vpisno knjigo."

Rjavca / Rjautza,Karavanke, 1789,"46,4514°N","14,2221°E", vrh, 242533, 55% ,1210. mesto,2,0,"Rjavca (na zemljevidih Rjavica) je 1789 m visok vrh, ki se nahaja severno od glavne verige mejnega grebena Karavank. Z vrha, na katerem stoji križ in na njem vpisna skrinjica (žiga ni), se nam odpre lep razgled na severna ostenja osrednjih Karavank ter delu Dravske doline. Ob lepem razgledu pa razgled seže vse do Nizkih in Visokih Tur v Avstriji."

Krvavka,Karavanke, 1784,"46,48921°N","14,06515°E", vrh, 303515, 64% ,971. mesto,1,0,"Krvavka je neporaščen vrh, ki se nahaja vzhodno od bolj znane Golice. Z vrha je lep pogled proti grebenu Karavank, Julijskim Alpam in Avstriji."

Na Možeh,Karavanke, 1784,"46,43351°N","14,2332°E", vrh, 335227, 69% ,852. mesto,1,1,"Na Možeh je greben severno od doma na Zelenici. Greben ima kar nekaj med seboj podobnih vrhov. Najvišji je visok 1784m in je lepo viden od doma na Zelenici. Od doma so videti kot trije stolpi. Srednji, ki se nahaja med dvema med seboj podobnima sedloma je najvišji kar je od doma tudi lepo razvidno. Razmeroma težko dostopen vrh ima lep razgled na osrednje Karavanke. Najlepše so vidni sosednji Palec, Vrtača in Begunjščica. Proti severu nam pogled uide proti Dravski dolini, proti vzhodu pa proti Košutici in Košuti."

Hruški vrh,Karavanke, 1776,"46,48134°N","14,0068°E", vrh, 453353, 85% ,407. mesto,9,0,"Hruški vrh je 1776 m visoka gora, ki se nahaja med Dovško Babo in nekoliko manj znanim Klekom. Z vrha, na katerem se nahaja manjša kapelica posvečena svetemu Izidorju, ki je zavetnik kmetov, pastirjev, živine in od leta 2001 tudi interneta, se nam odpre lep pogled proti sosednji Dovški Babi, Koprivnjaku, Kleku, Mežakli in večjemu delu Julijcev. Vrh ima vpisno skrinjico in žig."

Pristovški Storžič / Kärntner Storschitz,Karavanke, 1759,"46,43132°N","14,52549°E", vrh, 504598, 91% ,242. mesto,4,0,"Pristovški Storžič je izredno razgleden vrh nad Jezerskim. Z njega imamo lep pogled na severna ostenja Grintovcev preko Košute do Julijskih Alp. Na vrhu je železen križ z napisom: Koroška - svobodna in nerazdeljena, ki je bil postavljen ob 42. obletnici koroškega plebiscita."

Koprivnjak / Kleiner Frauenkogel,Karavanke, 1754,"46,49203°N","14,00737°E", vrh, 297735, 63% ,1000. mesto,2,0,"Koprivnjak (Mala Dovška Baba) je 1754 m visok vrh, ki se nahaja na avstrijski strani Karavank. Z vrha na katerem stoji križ in na njem vpisna skrinjica je lep pogled na Dovško Babo, Hruški vrh, Klek in Golico."

Klek,Karavanke, 1753,"46,48511°N","14,02485°E", vrh, 477912, 88% ,328. mesto,8,0,"Klek je 1753 m visoka gora, ki se nahaja med Hruškim vrhom in bolj znano Golico. Z vrha, ki meji med Slovenijo in Avstrijo, se nam odpre lep razgled na zahodni in osrednji del Karavank, Julijske Alpe, Visoke Ture in na del Dravske doline."

Bivak na Belščici,Karavanke, 1750,"46,44441°N","14,13457°E"," bivak, planina", 367476, 73% ,725. mesto,2,0,Bivak ima dve zasilni ležišči in se nahaja na planini pod Vajnežem. Tu v poletnem času pasejo živino. Od tu je lep pogled po pobočjih Belščice in Julijskim Alpam.

Zajčnik,Karavanke, 1746,"46,515°N","13,8291°E", vrh, 234134, 54% ,1245. mesto,3,0,"Zajčnik (tudi Blekova) je 1746 m visok vrh, ki se nahaja severovzhodno od Vošce. Z deloma poraščenega vrha, ki meji med Slovenijo in Avstrijo, se nam odpre lep pogled proti Ziljski dolini in goram, ki obdajajo vzhodni del omenjene doline. Na ostale strani razgled deloma ovira gozd, a vseeno lahko uzremo del Dravske doline, Beljak in Trupejevo poldne."

Zajmenove peči,Karavanke, 1745,"46,4239°N","14,2896°E", vrh, 980, 16% ,2262. mesto,1,0,"Zajmenove peči so 1745 metrov visok vrh, ki se nahaja v istoimenskem grebenu, le ta pa na na zahodnem delu Košute. Z vrha, ob katerem se nahaja lesena klop, se nam odpre lep pogled proti Begunjščici, Stolu, Vrtači, Palcu, grebenu Ljubeljščice, Avstriji, Košutici, Velikemu vrhu v grebenu Košute, ob lepi vidljivosti pa razgled seže vse do Snežnika in Julijskih Alp."

Kamnica (Komnica) / Ferlacher Spitze,Karavanke, 1742,"46,5214°N","13,9643°E", vrh, 601, 13% ,2358. mesto,3,0,"Kamnica je razgledna gora, ki se nahaja na avstrijski strani Karavank, točneje severno od Kepe. Z vrha, na katerem se nahaja križ, vpisna skrinjica ter klopca, se nam odpre lep razgled proti Kepi, delu Julijskih Alp, ob lepi vidljivosti pa razgled seže vse do Visokih Tur v Avstriji."

Mala Košuta,Karavanke, 1740,"46,44293°N","14,43825°E", vrh, 381949, 75% ,678. mesto,2,0,"Mala Košuta (po nemško Kleine Koschuta) je 1740 m visok vrh, ki se nahaja na skrajnem vzhodu Košute. Z vrha, ki se strmo spušča proti Avstriji se nam odpre lep pogled na vzhodni del Košute, bližnji Plešivec in del Kamniško Savinjskih Alp.<br>Zadnje čase nekateri uporabljajo ime Meli Košuta, kar pa je napačno, saj je Meli le krušljivo pobočje na avstrijski strani grebena med Malo Košuto in Tolsto Košuto, preko katerega vodi markirana pot, za katero skrbi slovensko planinsko društvo Celovec."

Vošca,Karavanke, 1737,"46,51019°N","13,81842°E", vrh, 488738, 89% ,293. mesto,6,1,"Vošca je 1737 m visok vrh, ki se nahaja zahodno od Trupejevega poldneva. S travnatega vrha, se nam odpre lep razgled na Julijske Alpe, zahodne Karavanke, vzhodne Karnijske in Ziljske Alpe, Dravsko dolino ter Visoke Ture in bližnje Krške Alpe. Nekaj metrov pod vrhom, pa se nahajajo še ruševine nekdanje vojaške karavle ter na bližnjem drevesu še žig in vpisna skrinjica z vpisno knjigo."

Mala Peca,Karavanke, 1731,"46,49229°N","14,79182°E", vrh, 352585, 71% ,786. mesto,3,0,"Mala Peca je vrh nad domom na Peci na njenih vzhodnih pobočjih. Z vrha, kjer stoji razgledna plošča je lep razgled na vzhodna pobočja Pece in okoliške vrhove. Razgled z vrha pa zaradi pasu gozda ob vrhu ni popoln."

Tamarča,Karavanke, 1728,"46,5063°N","13,8119°E", vrh, 191918, 48% ,1410. mesto,1,0,"Tamarča je manj znan vrh, ki se nahaja severozahodno od Vošce. Z vrha, katerega obdaja macesnov gozd, se nam odpre lep razgled na Martuljkovo skupino gora."

Hajnžev Praprotnik / Zeller Prapotnik,Karavanke, 1727,"46,4475°N","14,3119°E", vrh, 750, 14% ,2318. mesto,5,0,"Hajnžev Praprotnik je 1727 metrov visok vrh, ki se nahaja na avstrijski strani Karavank, točneje med Košutico in naseljem Sele-Zvrhnji Kot. Z vrha, na katerem stoji lesen križ, se nam odpre lep razgled po Karavankah, ob lepi vidljivosti pa razgled seže vse do Julijskih Alp, Visokih in Nizkih Tur, Labotniških Alp..."

Veliki Javornik (Ženiklovec),Karavanke, 1716,"46,37502°N","14,40256°E", vrh, 426235, 81% ,507. mesto,4,0,"Veliki Javornik ali Ženiklovec je 1716 m visok vrh, ki se nahaja med Storžičem in Stegovnikom. S travnatega vrha, na katerem je vpisna skrinjica, se nam odpre lep razgled na že omenjeni Storžič, greben Kriške gore, Julijske Alpe, Stol, Begunjščico, Vrtačo in Košuto ter gore na Jezerskim."

Vrh Ljubeljščice (Triangel),Karavanke, 1704,"46,43219°N","14,23721°E", vrh, 494038, 90% ,275. mesto,3,0,"Nad smučiščem Zelenica, točneje nad smučarsko vlečnico Triangel, se nahaja 1704 m visok vrh, ki je najvišja točka grebena Ljubeljščica. Z vrha, katerega se je prijelo ime Triangel (Triangel je ime za bližnjo vlečnico in ne ime vrha), se nam odpre lep razgled na greben Košute in Begunjščice, Zelenico, del Julijskih Alp, Stol, greben Na Možeh, v Avstrijo in večji del grebena Ljubeljščica."

Hajnževo sedlo,Karavanke, 1701,"46,4336°N","14,3056°E", sedlo, 406243, 78% ,584. mesto,4,0,"Lepo, široko, z ruševjem in travo poraslo sedlo med Košuto in Košutico - mejni greben z Avstrijo."

Belska planina (Svečica),Karavanke, 1700,"46,47403°N","14,10882°E"," koča, planina", 463612, 86% ,369. mesto,5,0,Belska planina ali Svečica se nahaja zahodno od najvišjega vrha Struške na njenih južnih pobočjih. S planine je idiličen razgled na okolico. Svečica je prijetna planina nad gozdno mejo v objemu prostranih pašnikov.

Uršlja gora (Plešivec),Karavanke, 1699,"46,48555°N","14,96149°E"," vrh, koča, cerkev", 653763, 99% ,32. mesto,14,1,"Uršlja gora ali Plešivec je razgledna gora med Slovenj Gradcem in Črno na Koroškem. Na vrhu oziroma malo pod njim stoji cerkev Svete Uršule, ki je najvišje ležeča cerkev v Sloveniji. Na vrhu pa ne stoji samo cerkev ampak tudi prijeten planinski dom pred katerim je večje število klopi in miz. Od doma pa se lahko povzpnemo še na manj kot pet minut oddaljen vrh Uršlje gore na katerem stoji križ in razgledna plošča. Med domom in vrhom pa so postavljeni oddajniki, ki so vidni skoraj z vseh sosednjih vrhov. Uršlja gora je priljubljena izletniška točka tudi med kolesarji saj na vrh pripelje za promet zaprta gozdna cesta."

Planina Seča,Karavanke, 1698,"46,46073°N","14,1299°E"," sedlo, planina", 309650, 65% ,949. mesto,3,0,"Planina Seča (tudi Seče) se nahaja na vzhodnih pobočjih Struške v neposredni bližini državne meje. S planine na kateri stoji hiška (lovska koča) je lep razgled proti pobočjem Belščice in delu Julijskih Alp, kjer se vidi Triglav. S planine Seča je pogosto viden planinski orel, ki domuje na tem koncu."

Alpengasthof Siebenhütten,Karavanke, 1693,"46,5179°N","14,7715°E"," koča, cerkev, planina, jezero", 240633, 55% ,1219. mesto,2,0,"Alpengasthof Siebenhütten oz. po slovensko Alpsko gostišče Sedem Koč, se nahaja pri zgornji postaji krožno-kabinske žičnice na Peco. Od gostišča, oz. njegove bližnje okolice, se nam odpre lep razgled na dolino Podjune, del grebena Pece, planini Svinjo ter Golico in Uršljo goro. Nekoliko stran, pa se nahajata še umetno jezero namenjeno zasneževanju smučišča ter manjša kapela."

Stegovnik,Karavanke, 1692,"46,39525°N","14,41993°E", vrh, 521585, 93% ,190. mesto,9,3,"Stegovnik (tudi Štegovnik) je razgledna grebenska gora med dolino Tržiške Bistrice in Kokre. Z vrha je zelo lep pogled proti celotnemu grebenu Košute na severu, proti jugu se lepo vidi Storžič s svojimi sosednjimi vrhovi, proti vzhodu pa se vidi Kočna in ostale gore nad Jezerskim. Vrh ima vpisno skrinjico v kateri je vpisna knjiga in žig. Vrh je precej dolg z veliko prostora."

Mačenski vrh / Matschacher Gupf,Karavanke, 1691,"46,48969°N","14,13771°E", vrh, 1120, 18% ,2230. mesto,3,0,Mačenski vrh / Matschacher Gupf je razgleden vrh nad Rožem / Rosental. Vrh ima vpisno skrinjico z vpisno knjigo.

Mali Javornik,Karavanke, 1685,"46,38198°N","14,41744°E", vrh, 316364, 66% ,924. mesto,1,0,"Mali Javornik se nahaja med Stegovnikom in Velikim Javornikom (Ženiklovcem). Vrh je travnat in ima lep razgled na okoliške vrhove. Najlepše se vidijo Storžič, greben Košute, Stegovnik in osrednje Kamniško Savinjske Alpe, kjer izstopa Kočna."

Spodnji Plot,Karavanke, 1682,"46,4304°N","14,2377°E", vrh, 298818, 63% ,994. mesto,3,0,"Spodnji Plot je 1682 m visoka gora, ki se nahaja južno od nekoliko višjega Vrha Ljubeljščice (Triangel). S prepadnega vrha, ki je priljubljen predvsem med plezalci (za te je primerna predvsem južna stena), se nam odpre lep razgled na severna ostenja Begunjščice ter okoliške vrhove."

Dom na Uršlji gori,Karavanke, 1680,"46,4846°N","14,965°E"," koča, cerkev", 11833, 27% ,1981. mesto,10,0,"Dom na Uršlji gori se nahaja malo pod vrhom Uršlje gore oz. Plešivca. Ob domu se nahaja najvišje ležeča cerkev v Sloveniji, ki je posvečena sv. Uršuli. Od doma oz. njegove bližnje okolice se nam odpre lep razgled na Koroško, Saleško dolino in velik del Štajerske. Za razgled proti zahodu pa se je vredno povzpeti na slabih 10 minut oddaljen vrh Uršlje gore."

Grpišca,Karavanke, 1676,"46,5065°N","13,799°E", vrh, 230217, 54% ,1257. mesto,1,0,"Grpišca je 1676 m visok travnat vrh, ki se nahaja v glavnem grebenu Karavank, točneje med Kamnatim vrhom in Vošco. Z vrha, ki meji na sosednjo Avstrijo, se nam odpre lep razgled na Martuljkovo skupino gora, Razor, Prisank, greben Mojstrovk, Jalovec, Mangart, Montaž, Dobrač ter delu Dravske doline."

Votlina Kralja Matjaža,Karavanke, 1670,"46,4875°N","14,797°E", , 368789, 73% ,719. mesto,3,0,"V votlino Kralja Matjaža nas pripelje umetno izklesan rov. V votlini, ki je zaprta z ograjo je postavljen bronast kip Kralja Matjaža, ki kraljuje v podzemlju Pece. Votlina se nahaja v bližini doma na Peci na njenih vzhodnih pobočjih."

Hrašenska planina,Karavanke, 1670,"46,45285°N","14,12208°E", planina, 220976, 52% ,1294. mesto,2,0,Hrašenska planina se nahaja na zahodnem delu Belščice. Na planini stoji manjša pastirska koča.

Pečovnik (kota 1668),Karavanke, 1668,"46,42842°N","14,44176°E", vrh, 238161, 55% ,1231. mesto,2,0,"Pečovnik (kota 1668) je 1668 metrov visoka gora, ki se nahaja med Plešivcem (1801 m) in Virnikovim Grintovcem (1654 m). S travnatega vrha, ki se nahaja na meji med Slovenijo in Avstrijo, se nam odpre lep pogled proti Storžiču, Triglavu, Košuti in Plešivcu, v smeri proti Avstriji pa razgled delno zakriva pas gozda."

Bela peč / Weiße Wand,Karavanke, 1665,"46,4537°N","14,2236°E", vrh, 215314, 51% ,1318. mesto,1,0,"Bela peč / Weiße Wand je manj izrazit, a prepaden vrh, ki se nahaja severovzhodno od Rjavce / Rjautza. Z vrha, ki se prepadno spušča proti zahodu, pa se nam med krošnjami dreves odpre lep razgled na severna ostenja osrednjih Karavank."

Dom na Peci,Karavanke, 1665,"46,49114°N","14,79406°E", koča, 492397, 90% ,281. mesto,7,0,"Dom na Peci se nahaja na vzhodnem delu pogorja Pece. Dom je odprt od maja do oktobra, v zimskem času pa ob sobotah, nedeljah in praznikih, če je lepo vreme. Ker je v bližini koče gozd ni lepega razgleda. Za razgled se moramo povzpeti na manj kot 10 minut oddaljen vrh Male Pece. V bližini koče je tudi votlina Kralja Matjaža, do nje pridemo v desetih minutah lahkotne hoje. Nekoliko pod domom se nahaja še kapela sv. Cirila in Metoda."

Celovška koča / Klagenfurter Hutte,Karavanke, 1664,"46,44687°N","14,18302°E"," koča, planina", 438701, 83% ,460. mesto,5,0,"Celovška koča oz. po nemško Klagenfurter Hütte se nahaja pod Ovčjim vrhom (Kozjak) / Geissberg (Kosiak). Od koče, ob kateri se nahaja manjši studenček, se nam odpre lep pogled proti Svačici, Celovški špici, Stolu in Vajnežu. V bližini koče so prostrani pašniki, na katerih se v poletni sezoni pase živina."

Potočka zijalka,Karavanke, 1660,"46,44955°N","14,67117°E", , 482199, 89% ,310. mesto,3,0,"Potočka zijalka je 115m dolga in 20 do 40m široka kraška jama na Južnih pobočjih Olševe. Leta 1928 je profesor Brodar odkril staro kameno-dobno bivališče iz pred 40.000 let. Ugotovili so 40 živalskih vrst, ena od teh je bil jamski medved. Poleg živali so odkrii tudi koščena in kamnita orodja in ostanke ognjišč. Zgodovinsko gradivi hranijo v pokrajinksem muzeju v Celju."

Kosmatica / Kosmatitza,Karavanke, 1659,"46,4596°N","14,1981°E", vrh, 590, 13% ,2368. mesto,3,0,"Kosmatica / Kosmatitza je 1659 metrov visok vrh, ki se v celoti nahaja na avstrijski strani Karavank in sicer severno od Vrtače. Z vrha, ki ga deloma prerašča gozd, se nam odpre lep pogled proti Žingarici / Singerberg in goram nad dolino Poden / Bodental."

